CODGP_PROD_OBRAS; CODGP_PROD; Fecha Creación; Disiplina de origen; Institución Licencia; Fecha Licencia; Distinciones; Selección Distinción; Productos Asociados; Número Derechos Autor/NIT; 
COL0065689O13;COL006568913;;;;;;;;;
COL0065689O14;COL006568914;;;;;;;;;
COL0065689O15;COL006568915;;;;;;;;;
COL0069213O21;COL006921321;;;;;;;;;
COL0069213O22;COL006921322;;;;;;;;;
COL0069213O23;COL006921323;;;;;;;;;
COL0038066O81;COL003806681;Enero de 2012;Humanidades -- Arte -- Diseńo;;cha de papa criolla,;;;;;
COL0034595O49;COL003459549;;;;;;;;;
COL0034595O50;COL003459550;;;;;;;;;
COL0034595O51;COL003459551;;;;;;;;;
COL0059638O109;COL0059638109;;;;;;;;;
COL0059638O110;COL0059638110;;;;;;;;;
COL0059638O111;COL0059638111;;;;;;;;;
COL0147768O94;COL014776894;;;;;;;;;
COL0147768O95;COL014776895;;;;;;;;;
COL0147768O96;COL014776896;;;;;;;;;
