CODGP_PROD; CODGP; GP_TIPO_PROD; Nombre Producto; Lugar; Año; Idioma; Páginas; Volumen; Editorial; Ambito; DOI; Descripción; Instituciones; Tipo Vincula Institu; Autores
COL003806623;COL0038066;17;Grupo de Investigacin en Tecnologa de Invernaderos y Agroplasticultura;Colombia;2009;;;500;Opciones Gráficas Editores Ltda.;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806624;COL0038066;17;Control Climatico en Invernaderos;Colombia;2009;;;500;Opciones Gráficas Editores Ltda.;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806625;COL0038066;17;Estructuras para alojamiento animal;Colombia;2009;;;;Facultad De Ingenieria Universidad Nacional;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806626;COL0038066;20;Estructuras de Invernadero: la Experiencia Colombiana.;Espańa;2004;;83 - 108;-;CYTED;;;;;;JOHN FABIO ACUNA CAITA, DIANA MARCELA ORTIZ PAEZ,;
COL003806627;COL0038066;20;La construcción de Invernaderos o Casas de Cultivo.;Espańa;2003;;-;-;CYTED;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806628;COL0038066;27;EVALUACIÓN DE LOS CONTENIDOS DE SOLIDOS SOLUBLES Y PORCENTAJE DE ACIDEZ EN TRES VARIEDADES DE LECHUGA Lactuca sativa. CULTIVADA EN INVERNADERO BAJO CONDICIONES ESPECÍFICAS;;2014;;Nro. Paginas:;;;;;;semillero de investigación AmarantoUniversidad Nacional de Colombia;;ANGEL ANDRES ALEJO OSUNA,;
COL003806629;COL0038066;27;Cultivo de Lechuga bajo invernadero. Resvista: AMARANTO. ISSN 2215-7654. VOL 2. p. 37;;2014;;Nro. Paginas: 3;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;;JAVIER MAURICIO MARTIN LOPEZ, ANDRES MAURICIO BAUTISTA TORRES, ANGEL ANDRES ALEJO OSUNA, CAROLINA DUARTE SANDOVAL, DEISSY GIOVANNA QUINTERO ARIAS,;
COL003806630;COL0038066;27;AMARANTO;;2010;;Nro. Paginas: 2;;;;;;;;JOHANNA CAROLINA HERNANDEZ SILVA, JAVIER MAURICIO MARTIN LOPEZ,;
COL003806631;COL0038066;34;Revista Amaranto Volumen III: Albahaca en Ambiente Protegido;;2016;;;;;;;;;;JOHN FABIO ACUNA CAITA, ANDRES CAMILO LARA GUTIERREZ, ANGEL ANDRES ALEJO OSUNA, ANGELICA BUSTOS GARCIA, CAMILA ALEJANDRA NOCUA GORDON, CAMILA ANDREA CASTELLANOS MEDINA, GLORIA ALEXANDRA ORTIZ ROCHA, HERNAN JAVIER BARRETO RODRIGUEZ, JESSICA VARGAS CRUZ, JOAN SEBASTIAN SALCEDO ALBARRACIN, LIZETTE JULIANA GUIO ZAMORA, MARIA DANIELA ACEVEDO HERNANDEZ, MARIA PAULA BUSTAMANTE RODRIGUEZ, PAOLA CRISTINA CUCUNUBO BOSA, TATIANA MORENO MELO, YENNY DISNEY MOYANO LOPEZ, YUDY CRISTINA CHACON ZAMORA,;
COL003806632;COL0038066;34;Cultivo de lechuga bajo cubierta;;2013;;;;;;;;;;HERNAN JAVIER BARRETO RODRIGUEZ,;
COL003806633;COL0038066;34;Simulación Numérica de la circulación de aire al interior de un invernadero tradicional con ventilación natural mediante elementos finitos;Espańa;2003;;13;;;;;;;;DIANA MARCELA ORTIZ PAEZ, JOHN FABIO ACUNA CAITA,;
COL003806634;COL0038066;23;Efecto de las pelícu- las plásticas de invernadero en la determinación de la óptima lámina de riego para albahaca Ocimum basilicum L. en la Sabana de Bogotá;Colombia;2015;;37 - 48;3;;;;;;;JESSICA VARGAS CRUZ,;
COL003806635;COL0038066;23;cultivo de lechuga bajo invernadero;Colombia;2014;;1 - 37;1;;;;;;;ANGEL ANDRES ALEJO OSUNA,;
COL003806636;COL0038066;23;Cultivo de lechuga bajo cubierta;Colombia;2014;;3 - 37;2;;;;;;;JAVIER MAURICIO MARTIN LOPEZ, DEISSY GIOVANNA QUINTERO ARIAS, JOHN FABIO ACUNA CAITA, ANDRES MAURICIO BAUTISTA TORRES, ANGEL ANDRES ALEJO OSUNA, CAROLINA DUARTE SANDOVAL, HERNAN JAVIER BARRETO RODRIGUEZ,;
COL003806637;COL0038066;22;cultivo de lechuga bajo cubierta;Colombia;2014;;8 - 37;2;;;;;;;JAVIER MAURICIO MARTIN LOPEZ, DEISSY GIOVANNA QUINTERO ARIAS, HERNAN JAVIER BARRETO RODRIGUEZ, ANDRES MAURICIO BAUTISTA TORRES, ANGEL ANDRES ALEJO OSUNA,;
COL003806638;COL0038066;23;Exploración en caléndula;Colombia;2010;;3 - 15;1;;;;;;;JOHANNA CAROLINA HERNANDEZ SILVA, JAVIER MAURICIO MARTIN LOPEZ, JOHN FABIO ACUNA CAITA, DANIEL ESTEBAN BRICENO SALINAS,;
COL003806639;COL0038066;23;Semitechos;Colombia;2010;;1 -;3;;;;;;;LUISA DUQUE CIFUENTES,;
COL003806640;COL0038066;23;Construcción de semitechos. Alternativa de protección para los cultivos de la zona cafetera colombiana;Colombia;2009;;6 - 7;1;;;;;;;LUISA DUQUE CIFUENTES,;
COL003806641;COL0038066;22;Control óptimo para flores 1-A;Colombia;2003;;-;;;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806642;COL0038066;18;Ruscus: Producción Y Manejo Poscosecha;Colombia;2010;;102;1;Produmedios;;;;;;CAROLINA AGUIAR CAMPOS,;
COL003806643;COL0038066;18;Nociones básicas sobre invernaderos;Colombia;2001;;120;100;Unidad De Publicaciones Facultad De Ingenieria Universidad Nacional De Colombia;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806644;COL0038066;55;Protocolo de manejo poscosecha de Papa Criolla;Colombia;2011;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806645;COL0038066;55;Protocolo de manejo poscosecha de Helecho hoja de cuero;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806646;COL0038066;55;Protocolo de manejo poscosecha de Rsucus;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806647;COL0038066;55;Protocolo de manejo poscosecha de Gulupa;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806648;COL0038066;55;Protocolo de manejo poscosecha de Granadilla;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806649;COL0038066;55;Protocolo de manejo poscosecha de Cebollín;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806650;COL0038066;55;Protocolo de manejo poscosecha de Romero;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806651;COL0038066;55;Protocolo de manejo poscosecha de Albahaca;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806652;COL0038066;55;Protocolo de manejo poscosecha de Uchuva;Colombia;2010;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806653;COL0038066;56;Concepto técnico sobre procesamiento industrial primario;Colombia;2009;Espańol;;;;;;;;Financiadora;JOHN FABIO ACUNA CAITA,;
COL003806654;COL0038066;94;Herramienta para cosechar papa criolla;Colombia;2011;;;;;;;;;Financiadora;HOLMAN MAURICIO ALBARRACIN PINZON,;
COL003806655;COL0038066;72;Secadores solares para café;Colombia;2009;;;;;;http://www.pqa.com.co/Secadores/index.html;;;Financiadora;LUISA DUQUE CIFUENTES,;
COL00000011;COL0000001;8;Articulo Corto de prueba;Colombia;2018;;550 - 600;12;;;;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL00000012;COL0000001;11;Artículo de prueba;Colombia;2017;;100 - 200;4;;;168.176.26.78:8080/share;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL00000013;COL0000001;17;Libro de Prueba;Colombia;2015;;;;Prueba;;;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL00000014;COL0000001;17;Libro de prueba 2;Colombia;2014;;;;Prueba;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL00000015;COL0000001;21;Prueba Capítulo;Colombia;2018;;100 -;-;CENTRO DE EDICIONES UNIVERSIDAD DE MANIZALES;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL00000016;COL0000001;21;Capítulo de libro prueba;Antártica;2017;;200 - 210;-;CENTRO DE EDICIONES UNIVERSIDAD DE MANIZALES;;;;;;MANUEL FERNANDO NEIRA EMBUS, ALEJANDRO CASTRO, MARYORY AIXA ROJAS CAMARGO,;
COL00000017;COL0000001;20;otrocapítulo de libro corto publicado;Colombia;2011;;500 -;-;Test;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL00000018;COL0000001;20;Otro capitulo de prueba;Colombia;2010;;12 - 20;-;Test;;;;;;MANUEL FERNANDO NEIRA EMBUS, MARYORY AIXA ROJAS CAMARGO, ALEJANDRO CASTRO,;
COL00000019;COL0000001;27;documento corto de prueba;;2018;;Nro. Paginas:;;;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL000000110;COL0000001;27;documento de prueba;;2018;;Nro. Paginas: 78;;;;http://168.176.26.78:8080/share/page/;;UNALUNAL PRUEBAPRUEBA UNAL;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000111;COL0000001;31;Titulo de la publicación de prueba corto;;2018;;;;;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL000000112;COL0000001;32;Titulo de la publicación de prueba;;2018;;;;;;;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000113;COL0000001;22;Titulo otro artículo prueba;Italia;2018;;45 - 65;12;;;;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000114;COL0000001;24;Otro titulo del articulo corto prueba;Italia;2018;;654 - 654;1;;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL000000115;COL0000001;19;Prueba otro libro;Bangladés;2014;;;;Test;;;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000116;COL0000001;18;otro libro corto publicado;Colombia;2005;;;;;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL000000117;COL0000001;29;Artículo de prueba;;2018;;;;;;;;;;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000118;COL0000001;30;Test la;;2018;;;;;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
COL000000119;COL0000001;46;carta corta de prueba;;2018;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000120;COL0000001;48;Carta larga de prueba;Afganistán;2013;;;;;;;;;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000121;COL0000001;53;Consultoria de prueba larga;Alemania;2009;Espańol;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000122;COL0000001;59;Analisis de prueba;;2009;Espańol;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000123;COL0000001;40;Diseńo industrial largo;Colombia;2013;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000124;COL0000001;40;Diseńo industrial corto;;2013;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000125;COL0000001;41;Circuito Test;Colombia;2018;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000126;COL0000001;41;Circuito test corto;;2018;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000127;COL0000001;42;Innovación corta prueba empresa;Colombia;2017;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000128;COL0000001;43;Innovación de prueba empresa;Austria;2002;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000129;COL0000001;45;Innovación corta prueba;;2016;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000130;COL0000001;45;Innovación Prueba;;2013;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000131;COL0000001;44;Gatos de prueba;Colombia;2018;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000132;COL0000001;44;Gatos cortos de prueba;;2017;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000133;COL0000001;51;Plantas prueba;Colombia;2017;;;;;;https://www.lucidchart.co;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000134;COL0000001;51;Plantas cortas de prueba;Colombia;2013;;;;;;https://www.lucidchart.co;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000135;COL0000001;93;planta piloto de prueba;Colombia;2018;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000136;COL0000001;93;Plantas cortas de prueba;Colombia;2017;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000137;COL0000001;36;gen de prueba;;2018;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000138;COL0000001;37;producto de prueba;Colombia;2015;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000139;COL0000001;63;Norma de prueba;Colombia;2018;;;;;N;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000140;COL0000001;61;nomra corta de prueba;Colombia;2015;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000141;COL0000001;65;guia clínica de prueba;Colombia;2018;;;;;N;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000142;COL0000001;92;prototipo de prueba;Colombia;2018;;;;;;;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000143;COL0000001;67;Reglamento de prueba;Colombia;2018;;;;;;https://www.lucidchart.co;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MARYORY AIXA ROJAS CAMARGO, MANUEL FERNANDO NEIRA EMBUS,;
COL000000144;COL0000001;67;Reglamento corto de prueba;;2005;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000145;COL0000001;95;Signo corto de prueba;Colombia;2018;;;;;;;;;;titular de prueba;
COL000000146;COL0000001;96;Signo de prueba;Azerbaiyán;2005;;;;;;;;;;titular de prueba;
COL000000147;COL0000001;35;software corto de prueba;Colombia;2018;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS, MARYORY AIXA ROJAS CAMARGO,;
COL000000148;COL0000001;35;Software de prueba;Colombia;2016;;;;;;https://www.lucidchart.co;;UNIVERSIDAD NACIONAL DE COLOMBIA;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000149;COL0000001;66;ley de prueba;;2018;;;;;;;;;Financiadora;MANUEL FERNANDO NEIRA EMBUS,;
COL000000150;COL0000001;68;YEM;;2018;;;;;;;;;;MANUEL FERNANDO NEIRA EMBUS, MARYORY AIXA ROJAS CAMARGO,;
COL000000151;COL0000001;69;Test 2;;2018;;;;;;;;;;MANUEL FERNANDO NEIRA EMBUS,;
asd1;asd;8;Measurement on Usage of the Internet Banking in Colombia;Líbano;2015;;1 - 23;20;;;10.4172/2165-7866.1000105;;;;JENNY MARCELA SANCHEZ TORRES,;
asd2;asd;8;Identificación de factores que afectan el desarrollo de la inclusión digital;Colombia;2015;;175 - 191;44;;;;;;;MAYDA PATRICIA GONZALEZ ZABALA, ERNESTO AMARU GALVIS LISTA, JENNY MARCELA SANCHEZ TORRES,;
asd3;asd;8;KNOWLEDGE MANAGEMENT EVALUATION: A SYSTEMATIC LITERATURE REVIEW;;2014;;151 - 170;15;;;;;;;ERNESTO GALVIS LISTA, JENNY MARCELA SANCHEZ TORRES,;
asd4;asd;8;Involucramiento de producto y lealtad de marca para productos de consumo masivo en Bogotá DC.;Colombia;2013;;303 - 312;29;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd5;asd;8;Lealtad de marca: antecedentes y perspectivas de investigación.;Colombia;2013;;141 - 163;15;;;;;;;EDISON JAIR DUQUE OLIVA, PEDRO JULIAN RAMIREZ ANGULO,;
asd6;asd;8;Posibilidades para la redefinición del modelo de negocio del CREPIB.;Colombia;2013;;189 - 212;32;;;;;;;CLAUDIA JESSENIA BECERRA GUALDRON, EDISON JAIR DUQUE OLIVA, MARIANA PALACIOS PRECIADO,;
asd7;asd;8;A critical review of knowledge management in software process reference models;Colombia;2013;;323 - 338;10;;;10.4301/S1807-17752013000200008;;;;ERNESTO AMARU GALVIS LISTA, JENNY MARCELA SANCHEZ TORRES,;
asd8;asd;8;Evaluación del concepto de valor para el consumidor en el marketing y el diseńo. Una revisión conceptual.;Colombia;2013;;193 - 216;10;;;;;;;EDISON JAIR DUQUE OLIVA, CM CORREA MALAGON,;
asd9;asd;8;Marcas del distribuidor: evolución y caracterización del concepto;Colombia;2013;;229 - 248;18;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd10;asd;8;Análisis De Los Indicadores Para Medir Las Iniciativas De Sociedad De La Información Propuestas Por El Gobierno Colombiano;Colombia;2013;;277 - 298;76;;;;;;;JENNY MARCELA SANCHEZ TORRES, MAYDA PATRICIA GONZALEZ ZABALA,;
asd11;asd;10;LEALTAD DE MARCA: ANTECEDENTES Y PERSPECTIVAS DE INVESTIGACIÓN;Colombia;2013;;N/A -;24;;;;;;;PEDRO JULIAN RAMIREZ ANGULO,;
asd12;asd;8;Análisis de variables e indicadores empleados para medir la sociedad de la información;Colombia;2012;;433 - 446;20;;;http://dx.doi.org/10.4067/S0718-33052012000300017;;;;MAYDA PATRICIA GONZALEZ ZABALA, JENNY MARCELA SANCHEZ TORRES,;
asd13;asd;8;Capitalismo: sistema imperecedero?;Colombia;2012;;40 - 49;787;;;;;;;ANDRES ALBERTO MARINO AREVALO, STEFAN ORTIZ PRZYCHODZKA,;
asd14;asd;8;Formas y categorización de las relaciones entre las organizaciones sin fines de lucro y el sector privado: una revisión;Colombia;2012;;77 - 92;40;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd15;asd;8;La Sociedad de la Información: génesis, iniciativas, concepto y relación con las TIC;Colombia;2012;;113 - 128;11;;;;;;;JENNY MARCELA SANCHEZ TORRES, MAYDA PATRICIA GONZALEZ ZABALA, P SANCHEZ,;
asd16;asd;8;Medición de la percepción de la calidad del servicio de educación por parte de los estudiantes de la UPTC Duitama;Colombia;2012;;159 - 192;10;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd17;asd;8;El efecto de los impuestos sobre el costo de capital: estudio del caso almacenes éxito S.A. 2006-2010;Colombia;2012;;205 - 229;20;;;;;;;EDISON JAIR DUQUE OLIVA, MDP BAEZ ROA, MARIA DEL PILAR BAEZ ROA,;
asd18;asd;8;Una interpretación del concepto de gestión del conocimiento de Nonaka  Takeuchi usando la ficción literaria;Colombia;2012;;227 - 260;31;;;;;;;ROSALBA FRIAS NAVARRO, CARLOS ALBERTO RODRIGUEZ ROMERO,;
asd19;asd;8;Perceived Service Quality in electronic commerce: An application;Colombia;2011;;89 - 98;21;;;;;;;CARLOS ALBERTO RODRIGUEZ ROMERO, EDISON JAIR DUQUE OLIVA,;
asd20;asd;8;Aproximación a las modas administrativas desde algunos conceptos sociológicos. El caso de la reingeniería.;Colombia;2011;;77 - 90;21;;;;;;;ANDRES ALBERTO MARINO AREVALO, CARLOS ALBERTO RODRIGUEZ ROMERO,;
asd21;asd;8;ATC-PSQUAL scale: A proposal to measure perceived quality of the Air Traffic Control Service.;Colombia;2011;;169 - 186;21;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd22;asd;8;Perceived service quality in electronic commerce: An application;Colombia;2011;;89 - 98;21;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd23;asd;8;Revisión conceptual de la lealtad en servicios hoteleros.;Colombia;2011;;181 - 222;9;;;;;;;EDISON JAIR DUQUE OLIVA,;
