CODGP_PROD; CODGP; GP_TIPO_PROD; Nombre Producto; Lugar; Año; Idioma; Páginas; Volumen; Editorial; Ambito; DOI; Descripción; Instituciones; Tipo Vincula Institu; Autores
asd177;asd;27;Plan estratégico de Informática y Telecomunicaciones para la Universidad Nacional de Colombia 2000-2003;;2000;;Nro. Paginas: 14;;;;;;;;JOSE ISMAEL PENA REYES,;
asd178;asd;27;Plan estratégico de Informática;;2000;;Nro. Paginas:;;;;;;;;BEATRIZ DIAZ PINZON,;
asd179;asd;31;Editorial revista Innovar No 44;;2012;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd180;asd;31;Editorial revista Innovar No 43;;2012;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd181;asd;31;Editorial revista Innovar No 42;;2011;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd182;asd;31;Editorial revista Innovar No 41;;2011;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd183;asd;31;Editorial revista Innovar No 40;;2011;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd184;asd;31;Editorial revista Innovar No 39;;2011;;;;;;;;;;EDISON JAIR DUQUE OLIVA, ISMAEL MOYA, J. DAVID CABEDO,;
asd185;asd;31;Editorial revista Innovar No 38;;2010;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd186;asd;31;Editorial revista Innovar No 37;;2010;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd187;asd;31;Editorial revista Innovar No 36;;2010;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd188;asd;31;Editorial revista Innovar No 34;;2009;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd189;asd;31;Editorial revista Innovar No 33;;2009;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd190;asd;31;Editorial revista Innovar No 35;;2009;;;;;;;;;;EDISON JAIR DUQUE OLIVA,;
asd191;asd;31;Editorial revista Innovar No 32;Colombia;2008;;;;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd192;asd;31;Editorial revista Innovar No 31;Colombia;2008;;;;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd193;asd;31;Editorial revista Innovar No 30;Colombia;2007;;;;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd194;asd;31;Editorial revista Innovar No 29;Colombia;2007;;;;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd195;asd;31;Editorial revista Innovar No 28;Colombia;2006;;;;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd196;asd;31;Editorial revista Innovar No 27;Colombia;2006;;;;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd197;asd;31;Editorial revista Innovar No 26;Colombia;2005;;;15;Centro De Publicaciones Universidad Nacional De Colombia;;;;;;EDISON JAIR DUQUE OLIVA,;
asd198;asd;31;Editorial revista Innovar No 25;;2005;;;15;;;;;;;EDISON JAIR DUQUE OLIVA, GERARDO MEJIA ALFARO,;
asd199;asd;34;Manual guia de curso de extension de Excel Financiero;Colombia;2005;;120;;;;;;;;NESTOR ORLANDO ROJAS CASTILLO,;
asd200;asd;22;La educación sigue siendo un bien público;Colombia;2011;;- -;-;;;;;;;ANDRES ALBERTO MARINO AREVALO,;
asd201;asd;22;Desempeńo Colombiano en Patentes;Colombia;2008;;1 -;1;;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd202;asd;18;Capacidades de investigación de la Universidad Nacional de Colombia 2000-2011. Una aproximación desde el capital intelectual.;Colombia;2012;;;;Universidad Nacional de Colombia;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd203;asd;18;Internacionalización del Conocimiento Una Estrategia en Permanente Desarrollo en la Universidad Nacional de Colombia;Colombia;2011;;;;Universidad Nacional de Colombia;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd204;asd;18;Agendas de Conocimiento - Avances;Colombia;2011;;;;Universidad Nacional de Colombia;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd205;asd;19;Interventoria y seguimiento de proyectos públicos;Colombia;2010;;159;1;Facultad De Ciencias Econimicas Universidad Nacional De Colombia;;;;;;MANUEL FULGENCIO JIMENEZ MORIONES,;
asd206;asd;18;Capacidades De Investigación De La Universidad Nacional De Colombia 2000-2009. Una Aproximación Desde El Capital Intelectual;Colombia;2010;;;;Universidad Nacional de Colombia;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd207;asd;19;Capacidades De Investigación De La Universidad Nacional De Colombia. 2000-2008. Una Aproximación Desde El Capital Intelectual;Colombia;2009;;368;1;Editorial Universidad Nacional De Colombia;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd208;asd;18;Capacidades De Investigación De La Universidad Nacional De Colombia. 2000-2008. Una Aproximación Desde El Capital Intelectual;Colombia;2009;;;;Editorial Universidad Nacional De Colombia;;;;;;JENNY MARCELA SANCHEZ TORRES,;
asd209;asd;19;Sinergia Entre Las Prospectiva Y La Vigilancia Tecnologica E Inteligencia Competitiva;Colombia;2008;;328;1;Colciencias;;;;;;JENNY MARCELA SANCHEZ TORRES, JAVIER E MEDINA,;
asd210;asd;18;Cultura De Empresa : Significados E Instrumentos. Aplicaciones De Conocimiento Y Desarrollo Organizacional, 2;Espańa;2005;;190;1;Grupo Aptabel.com;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd211;asd;19;Comunicación Interna : Significados E Instrumentos. Aplicaciones De Conocimiento Y Desarrollo Organizacional, 3;Espańa;2005;;200;1;Grupo Aptabel.com;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd212;asd;19;Modelos De Dirección Y Factor Humano. Siglos Xx Y Xxi. Aplicaciones De Conocimiento Y Desarrollo Organizacional, 4;Espańa;2005;;250;1;Grupo Aptabel.com;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd213;asd;19;Sistema De Gestion De Calidad Iso 9000:2000. Gestión De Procesos. Aplicaciones De Conocimiento Y Desarrollo Organizacional, 5;Espańa;2005;;1;1;Grupo Aptabel.com;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd214;asd;19;Gestión Del Estres En Entornos Personales Y Profesionales. Aplicaciones De Conocimiento Y Desarrollo Organizacional, 6;Espańa;2005;;200;1;Grupo Aptabel.com;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd215;asd;18;Clima Laboral. Significados E Instrumentos. Aplicaciones De Conocimiento Y Desarrollo Organizacional, 1;Espańa;2005;;200;1;Grupo Aptabel.com;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd216;asd;18;301 Habilidades/Competencias Para Directivos, Jefes Y Profesionales;Espańa;2001;;672;1;Espańa;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd217;asd;18;Técnicas Y Estrategias De Estudio Y Aprendizaje;Espańa;1997;;208;1;APOSTROFE;;;;;;GASPAR BERBEL GIMENEZ, FEDE GAN BUSTOS,;
asd218;asd;28;Análisis bibliométrico de la teoría de gestión estratégica basada en recursos y competencias;;2003;;;;;;;;;;CARLOS ALBERTO RODRIGUEZ ROMERO,;
asd219;asd;57;Prestar el servicio profesional para realizar el ajuste curricular y metodológico del área temática de gobierno ti, y de los ocho 8 módulos que lo componen de acuerdo con la propuesta presentada por el contratista.;Colombia;2013;Espańol;;;;;;;;Financiadora;JENNY MARCELA SANCHEZ TORRES,;
asd220;asd;55;Guia pera desarrollar planes de formación. Consorci per a la formació contínua;Colombia;2007;Catalán;;;;;;;;Financiadora;GASPAR BERBEL GIMENEZ,;
asd221;asd;56;Consultoria y asesoría en sistemas de información;Colombia;2006;Espańol;;;;;;;Varias;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd222;asd;55;Informe Bimestral 6;Colombia;2006;Espańol;;;;;;;Unal - Sena;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd223;asd;55;Informe Trimestral 1;Colombia;2006;Espańol;;;;;;;Unal - Sena;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES,;
asd224;asd;55;Informe bimestral 1;Colombia;2005;Espańol;;;;;;;Universidad Nacional - SENA;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd225;asd;56;Interventoria seguimiento y control de tipo técnico, financiero-administrativo y de cumplimiento a proyectos financiados con recursos de Ley 344/96 2612 en el contrato 100, y 2384 en el contrato 015;Colombia;2005;Espańol;;;;;;;Unal - SENA;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd226;asd;56;Asesoria y revision para la elaboracion de reglamentacion a proyectos de innovacion y desarrollo tecnologico SENA;Colombia;2005;Espańol;;;;;;;Universidad Nacional - SENA;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES,;
asd227;asd;55;Informe Bimestral 4;Colombia;2005;Espańol;;;;;;;Unal - Sena;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd228;asd;55;Informe bimestral 3;Colombia;2005;Espańol;;;;;;;Unal -Sena;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd229;asd;55;Informe bimestral 2;Colombia;2005;Espańol;;;;;;;UNAL - SENA;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd230;asd;55;Informe Bimestral 5;Colombia;2005;Espańol;;;;;;;Unal - Sena;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES, EQUIPO CONSULTOR,;
asd231;asd;45;Diplomado en estadstica financiera, valoración y gestion de riesgos de mercado;;2007;;;;;;;;Universidad Nacional De Colombia - Oficial;Financiadora;EDISON JAIR DUQUE OLIVA,;
asd232;asd;38;Control de elementos de inventario para la FCE;Colombia;2006;;;;;;;;Facultad de Ciencias Economicas - UNCB;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd233;asd;38;Control de equipos Audiovisuales;Colombia;2006;;;;;;;;Facultad e Ciencias Economicas;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd234;asd;38;Aplicación de control de cursos de educación continuada;Colombia;2005;;;;;;;;Facultad de ciencias economicas - UNCB;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd235;asd;38;Aplicativo de control de capacitación - cursos libres;Colombia;2005;;;;;;;;Facultad de ciencias Economicas - UNCB;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd236;asd;38;Aplicativo control de salas y salones;Colombia;2004;;;;;;;;Facultad de Ciencias Economicas;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd237;asd;38;Sistema integrado de Gestion Cognos;Colombia;2003;;;;;;;;Consultoria independiente;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd238;asd;38;Sistema de gestion de Usuarios;Colombia;2003;;;;;;;;Facultad de Ciencias economicas;Financiadora;ALVARO ENRIQUE PALACIOS VILLAMIL,;
asd239;asd;35;Sistema de Interventoria de proyectos Monitor;Colombia;2006;;;;;;www.;;Universidad Nacional de Colombia Facultad de Ciencias Economicas CID;Financiadora;HENRY MARTINEZ SARMIENTO, MANUEL FULGENCIO JIMENEZ MORIONES,;
asd240;asd;35;Sistema de Interventoria de Proyectos - Monitor;Colombia;2005;;;;;;http://www.uninterventoriasena.com/;;;Financiadora;HENRY MARTINEZ SARMIENTO,;
asd241;asd;35;sistema de Interventoria de Proyectos - Monitor;Colombia;2005;;;;;;www.uninterventoriasena.com;;;Financiadora;MANUEL FULGENCIO JIMENEZ MORIONES,;
asd242;asd;35;API;Colombia;2002;;;;;;www.api.com.co;;gestión informática consultores;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd243;asd;35;Coleg 2002;Colombia;2002;;;;;;;;CID;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd244;asd;35;Calculadora financiera;Colombia;2000;;;;;;;;CID;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd245;asd;35;Cálculo del Pasivo Pensional Congreso de la República;Colombia;1999;;;;;;;;Fondo Rotatorio del Congreso de la República;Financiadora;JOSE ISMAEL PENA REYES,;
asd246;asd;35;SISD;Colombia;1998;;;;;;www.dnp.gov.co;;PNUD;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd247;asd;35;Sistema de monitoreo sectorial;Colombia;1998;;;;;;www.mindesarrollo.gov.co;;CID;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd248;asd;35;Sistema de Información Judicial;Colombia;1997;;;;;;www.ramajudicial.gov.co;;Consejo Superior De La Judicatura;Financiadora;JOSE ISMAEL PENA REYES,;
asd249;asd;35;Folio Magnético de Matrícula Inmobiliaria;Colombia;1990;;;;;;;;Superintendencia de Notariado y Registro;Financiadora;JOSE ISMAEL PENA REYES,;
asd250;asd;35;API;Colombia;1990;;;;;;www.api.com.co;;Gestión informática consultores;Financiadora;NESTOR ORLANDO ROJAS CASTILLO,;
asd1;asd;8;Factor de emisión de metano entérico para vacas Holstein lactantes en la zona norte de Antioquia - Colombia;Colombia;2017;;1 - 10;29;;;;;;;RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd2;asd;8;Enteric methane emission factors for lactating Holstein cows in the northern zone of Antioquia - Colombia;Colombia;2017;;1 - 12;29;;;;;;;SANDRA LUCIA POSADA OCHOA, JAIME RICARDO ROSERO NOGUERA,;
asd3;asd;8;Consumo de materia seca en un sistema silvopastoril de Tithonia diversifolia en trópico alto;Costa Rica;2017;;389 - 403;28;;;10.15517/ma.v28i2.23561;;;;JOAQUIN ANGULO ARIZALA, LILIANA MAHECHA LEDESMA, ESTEFANIA MEJIA DIAZ,;
asd4;asd;8;Digestión de materia seca, proteína cruda y aminoácidos de la dieta de vacas lecheras;Costa Rica;2017;;341 - 356;28;;;DOI: http://dx.doi.org/10.15517/ma.v28i2.25643;;;;MONICA DUQUE QUINTERO, JAIME RICARDO ROSERO NOGUERA, MARTHA OLIVERA ANGEL,;
asd5;asd;8;Efecto sobre la fermentación in vitro de mezclas de Tithonia diversifolia, Cenchrus clandestinum y grasas poliinsaturadas;Costa Rica;2017;;405 - 426;28;;;10.15517/ma.v28i2.25697;;;;LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO ARIZALA,;
asd6;asd;8;Calidad nutricional, dinámica fermentativa y producción de metano de arreglos silvopastoriles;Costa Rica;2017;;371 - 387;28;;;10.15517/ma.v28i2.22750;;;;JOAQUIN ANGULO ARIZALA, LILIANA MAHECHA LEDESMA, WILSON BARRAGAN,;
asd7;asd;8;Producción, calidad de leche y beneficio:costo de suplementar vacas holstein con Tithonia diversifolia;Costa Rica;2017;;357 - 370;28;;;10.15517/ma.v28i2.25945;;;;JOAQUIN ANGULO ARIZALA, MAHECHA LILIANA, LUIS GALLEGO,;
asd8;asd;8;Identificación de algunas cepas de hongos micorrícicos asociados al kikuyo Cenchrus clandestinus Hochst ex Chiov Morrone y su efecto en algunas variables agronómicas;Colombia;2017;;1 - 18;29;;;;;;;ALEJANDRO ORTIZ ACEVEDO, MARISOL MEDINA SIERRA, JULIO ECHEVERI GOMEZ,;
asd9;asd;8;Assessment of energy content in dog foods;Espańa;2017;;279 - 286;66;;;;;;;JUAN CAMILO DUQUE SALDARRIAGA, SANDRA LUCIA POSADA OCHOA, JORGE HERNAN AGUDELO TRUJILLO,;
asd10;asd;8;Desempeńo productivo de novillos cebú suplementados con Gliricidia sepium y recursos agroindustriales;Colombia;2017;;1 - 10;29;;;;;;;DIANA MARIA ORTIZ, SANDRA LUCIA POSADA OCHOA, RICARDO ROSERO NOGUERA,;
asd11;asd;10;ARBUSTIVAS FORRAJERAS Y ÁCIDOS GRASOS: ESTRATEGIAS PARA DISMINUIR LA PRODUCCIÓN DE METANO ENTÉRICO EN BOVINOS;Costa Rica;2017;;272 - 288;18;;;doi:10.15517/am.v28i1.21466;;;;JOAQUIN ANGULO, LILIANA MAHECHA LEDESMA,;
asd12;asd;8;Aceites vegetales sobre ácidos grasos y producción de metano in vitro en vacas lecheras;Costa Rica;2017;;1 - 18;1;;;doi:10.15517/am.v28i1.22034;;;;ESPERANZA PRIETO, JULIO VARGAS, JOAQUIN ANGULO, LILIANA MAHECHA LEDESMA,;
asd13;asd;8;Performance of Zebu steers supplemented with arboreal and agro-industrial by-products;Colombia;2017;;1 - 10;29;;;;;;;DIANA MARIA ORTIZ, SANDRA LUCIA POSADA OCHOA, JAIME RICARDO ROSERO NOGUERA,;
asd14;asd;8;Calidad nutricional de Tithonia diversifolia Hemsl. A Gray bajo tres sistemas de siembra en el trópico alto.;Costa Rica;2017;;20 - 42;18;;;;;;;LUIS ALBERTO GALLEGO, LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO,;
asd15;asd;8;Grasa y ácidos grasos en leche de vacas pastoreando, en cuatro sistemas de producción.;Costa Rica;2017;;19 - 42;18;;;doi:10.15517/am.v28i1.22816;;;;ESPERANZA PRIETO, JULIO VARGAS, JOAQUIN ANGULO, LILIANA MAHECHA LEDESMA,;
asd16;asd;10;Tithonia diversifolia: ESPECIE PARA RAMONEO EN SISTEMAS SILVOPASTORILES Y MÉTODOS PARA ESTIMAR SU CONSUMO;Costa Rica;2017;;292 - 302;18;;;doi:10.15517/am.v28i1.22673;;;;ESTEFANIA MEJIA DIAZ, LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO,;
asd17;asd;8;Indirect calorimetry to estimate energy requirements for growing and finishing Nellore bulls;China;2017;;151 - 161;16;;;10.1016/S2095-31191661443-0;;;;SANDRA LUCIA POSADA OCHOA, JAIME RICARDO ROSERO NOGUERA, NORBERTO MARIO RODRIGUEZ, ANA LUIZA COSTA CRUZ BORGES, RICARDO REIS,;
asd18;asd;8;Indirect calorimetry to estimate energy requirements for growing and finishing Nellore bulls;China;2017;;151 - 161;16;;;;;;;SANDRA LUCIA POSADA OCHOA, RICARDO ROSERO NOGUERA, NORBERTO MARIO RODRIGUEZ, ANA LUIZA COSTA CRUZ BORGES, RICARDO REIS E SILVA,;
asd19;asd;8;Análisis económico de la suplementación con recursos arbóreos y agroindustriales en ganado cebú;Colombia;2016;;23 - 34;11;;;;;;;DIANA MARIA ORTIZ, SANDRA LUCIA POSADA OCHOA, RICARDO ROSERO NOGUERA, CARLOS ALBERTO VELEZ HOYOS, DURSUN BARRIOS,;
asd20;asd;9;Calidad nutricional de Tithonia diversifolia Hemsl. A Gray bajo tres sistemas de siembra en el trópico alto;Costa Rica;2016;;213 - 222;28;;;doi:10.15517/am.v28i1.22034;;;;JOAQUIN ANGULO ARIZALA, LILIANA MAHECHA LEDESMA, LUIS GALLEGO,;
asd21;asd;8;Análisis económico de la suplementación con recursos arbóreos y agroindustriales en ganado cebú;Colombia;2016;;23 - 34;11;;;;;;;SANDRA LUCIA POSADA OCHOA, DIANA MARIA ORTIZ, JAIME RICARDO ROSERO NOGUERA, CARLOS ALBERTO VELEZ HOYOS,;
asd22;asd;10;Tithonia diversifolia: especie para ramoneo en sistemas silvopastoriles y métodos para estimar su consumo;Costa Rica;2016;;187 - 196;28;;;doi:10.15517/am.v28i1.22034;;;;LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO ARIZALA, ESTEFANIA MEJIA DIAZ,;
asd23;asd;10;Arbustivas forrajeras y ácidos grasos: estrategias para disminuir la producción de metano entérico en bovinos.;Costa Rica;2016;;273 - 228;28;;;doi:10.15517/am.v28i1.22034;;;;LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO ARIZALA,;
asd24;asd;8;Aceites vegetales sobre ácidos grasos y producción de metano in vitro en vacas lecheras;Colombia;2016;;1 - 18;28;;;doi:10.15517/am.v28i1.22034;;;;JOAQUIN ANGULO ARIZALA, MAHECHA LILIANA, JULIO VARGAS,;
asd25;asd;8;Grasa y ácidos grasos en leche de vacas pastoreando, en cuatro sistemas de producción;Costa Rica;2016;;19 - 42;28;;;doi:10.15517/am.v28i1.22034;;;;JOAQUIN ANGULO ARIZALA, LILIANA MAHECHA LEDESMA, JULIO VARGAS,;
asd26;asd;8;Efecto de la sustitución energética del maíz Zea mays en dietas para rumiantes sobre la producción de metano in vitro;Colombia;2016;;1 - 12;28;;;;;;;CATALINA RESTREPO ARIAS, JAIME RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd27;asd;8;Efecto de la sustitución energética del maíz Zea mays en dietas para rumiantes sobre la producción de metano in vitro;Colombia;2016;;1 - 12;28;;;;;;;CATALINA RESTREPO ARIAS, RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd28;asd;8;Efecto de la concentración de proteína cruda en suplementos para vacas lecheras sobre la degradación de la materia seca in vitro;Colombia;2016;;1 - 12;28;;;;;;;JAIME RICARDO ROSERO NOGUERA, FREDY RAMIREZ, SANDRA LUCIA POSADA OCHOA,;
asd29;asd;8;Efecto de la concentración de proteína cruda en suplementos para vacas lecheras sobre la degradación de la materia seca in vitro;Colombia;2016;;1 - 12;28;;;;;;;RICARDO ROSERO NOGUERA, FREDY RAMIREZ AGUDELO, SANDRA LUCIA POSADA OCHOA,;
asd30;asd;8;Ecuaciones para predecir metano en ganado lechero: un meta-análisis;Colombia;2016;;1 - 11;28;;;;;;;CATALINA RESTREPO ARIAS, JAIME RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd31;asd;8;Ecuaciones para predecir metano en ganado lechero: Un meta-análisis;Colombia;2016;;1 - 10;28;;;;;;;CATALINA RESTREPO ARIAS, RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd32;asd;8;Effect of ruminal inoculum of buffalo, cattle and goat on dry matter degradation and methane production in vitro;Colombia;2016;;1 - 10;28;;;;;;;SEBASTIAN BEDOYA, JAIME RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd33;asd;8;Anti-methanogenic potential of forage resources and agro-industrial by-products using in vitro gas production technique;Colombia;2016;;1 - 10;28;;;;;;;DIANA MARIA ORTIZ, SANDRA LUCIA POSADA OCHOA, JAIME RICARDO ROSERO NOGUERA,;
asd34;asd;8;Efecto de diferentes niveles de nitrato de calcio sobre la degradación de la materia seca y la producción de metano en una fermentación ruminal in vitro de pasto Kikuyo Cenchrus clandestinus Hochst. Ex Chiov.;Colombia;2016;;1 - 8;28;;;;;;;RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA, JUAN LEONARDO CARDONA IGLESIAS,;
asd35;asd;8;Effect of different levels of calcium nitrate on dry matter degradation and methane production in an in vitro rumen fermentation of Kikuyu grass;Colombia;2016;;1 - 10;28;;;;;;;JAIME RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd36;asd;8;Efecto de la especie donadora de inóculo ruminal sobre la degradación de la materia seca y producción de metano in vitro;Colombia;2016;;1 - 7;28;;;;;;;SEBASTIAN BEDOYA MAZO, RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA,;
asd37;asd;8;Potencial antimetanogénico de recursos forrajeros y subproductos agroindustriales a través de la técnica in vitro de producción de gas;Colombia;2016;;1 - 10;28;;;;;;;DIANA MARIA ORTIZ, SANDRA LUCIA POSADA OCHOA, RICARDO ROSERO NOGUERA,;
asd38;asd;8;Starch in ruminant diets: a review;Colombia;2016;;77 - 90;29;;;10.17533/udea.rccp.v29n2a01;;;;LUIS MIGUEL GOMEZ OSORIO, SANDRA LUCIA POSADA OCHOA, MARTHA OLIVERA ANGEL,;
asd39;asd;8;Zein-based blend coatings: impact on the quality of a model cheese of short ripening period;Estados Unidos;2016;;208 - 213;171;;;10.1016/j.jfoodeng.2015.10.039;;;;CAROLINA PENA SERNA, ANA LUCIA BARRETO PENNA, JOSE FRANCISCO LOPES FILHO,;
asd40;asd;8;Efecto de sistemas silvopastoriles en la producción y composición de la leche bajo condiciones del valle medio del rio sinú, Colombia;Colombia;2016;;187 - 196;8;;;;;;;WILSON BARRAGAN, LILIANA MAHECHA LEDESMA, SOCORRO CAJAS,;
asd41;asd;8;ÁCIDOS GRASOS, FERMENTACIÓN RUMINAL Y PRODUCCIÓN DE METANO, DE FORRAJES DE SILVOPASTURAS INTENSIVAS CON LEUCAENA;Costa Rica;2016;;337 - 352;27;;;doi: http://dx.doi.org/10.15517/am.v27i2.24386;;;;ESPERANZA PRIETO, LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO, JULIO VARGAS,;
asd42;asd;8;EFECTO DE LA SUPLEMENTACIÓN LIPÍDICA SOBRE ÁCIDOS GRASOS EN LECHE DE VACA, ÉNFASIS EN ÁCIDO RUMÉNICO REVISIÓN;Costa Rica;2016;;421 - 437;27;;;doi: http://dx.doi.org/10.15517/am.v27i2.22022;;;;ESPERANZA PRIETO, LILIANA MAHECHA LEDESMA, JOAQUIN ANGULO, JULIO VARGAS,;
asd43;asd;8;In vitro degradability kinetics of Maralfalfa Pennisetum sp. silage with different levels of inclusion and concentration of sugar cane Saccharum offcinarum vinasse;Colombia;2015;;82 - 94;10;;;;;;;JAIME RICARDO ROSERO NOGUERA, ROLANDO BARAHONA ROSALES,;
asd44;asd;8;Effect of lovastatin on in vitro methane production and dry matter digestibility of kikuyu grass Cenchrus clandestinus;Colombia;2015;;111 - 121;10;;;;;;;FREDY RAMIREZ, SANDRA LUCIA POSADA OCHOA, JAIME RICARDO ROSERO NOGUERA,;
asd45;asd;8;Efecto de la lovastatina sobre la producción de metano y la digestibilidad de la materia seca in vitro del pasto kikuyo Cenchrus clandestinus;Colombia;2015;;111 - 121;10;;;;;;;FREDY RAMIREZ AGUDELO, SANDRA LUCIA POSADA OCHOA, RICARDO ROSERO NOGUERA,;
asd46;asd;10;Aproximación al uso de hongos entomopatógenos y vacunas para el control sostenible de garrapatas en sistemas ganaderos: revisión;México;2015;;55 - 72;19;;;;;;;LILIANA MAHECHA LEDESMA, CAROLINA MONCADA, JOAQUIN ANGULO,;
asd47;asd;8;Comparao de fontes de ureia de lenta liberao sobre a degradao in vitro do capim King grass Pennisetum purpureum x Pennisetum typhoides;Colombia;2015;;1 - 8;27;;;;;;;RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA, CESAR IGNACIO RESTREPO MENESES,;
asd48;asd;8;Comparao de fontes de ureia de lenta liberao sobre a degradao in vitro do capim King grass Pennisetum purpureum x Pennisetum typhoides;Colombia;2015;;1 - 10;27;;;;;;;JAIME RICARDO ROSERO NOGUERA, SANDRA LUCIA POSADA OCHOA, CESAR IGNACIO RESTREPO MENESES,;
asd49;asd;10;aproximación al uso de hongos entomopatógenos y vacunas para el control sostenible de garrapatas en sistemas ganaderos;México;2015;;55 - 71;3;;;;;;;JOAQUIN ANGULO ARIZALA,;
asd50;asd;8;Effects of Kikuyu grass Pennisetum clandestinum age and different forage: concentrate ratios on methanogenesis;Colombia;2015;;4726 - 4738;20;;;;;;;FREDY RAMIREZ AGUDELO, SANDRA LUCIA POSADA OCHOA, RICARDO ROSERO NOGUERA,;
